,compound,created at,negative,neutral,positive,screen_name,text
154,0.6166,2018-03-17 17:42:43+00:00,0.0,0.839,0.161,CBS,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog
155,0.7096,2018-03-17 14:00:03+00:00,0.0,0.753,0.247,CBS,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL
156,0.296,2018-03-16 22:53:21+00:00,0.0,0.896,0.104,CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i
157,0.0,2018-03-16 18:15:53+00:00,0.0,1.0,0.0,CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…"
158,0.6514,2018-03-16 16:28:40+00:00,0.0,0.822,0.178,CBS,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP
159,0.7088,2018-03-15 17:54:06+00:00,0.0,0.763,0.237,CBS,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions ???? https://t.co/ie1…"
160,-0.4939,2018-03-15 17:20:26+00:00,0.157,0.766,0.077,CBS,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…
161,0.6514,2018-03-15 16:42:41+00:00,0.0,0.806,0.194,CBS,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb
162,0.6115,2018-03-15 14:32:16+00:00,0.0,0.734,0.266,CBS,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR
163,0.6696,2018-03-14 19:30:01+00:00,0.0,0.781,0.219,CBS,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S"
164,0.3612,2018-03-13 18:48:52+00:00,0.0,0.857,0.143,CBS,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…"
165,0.539,2018-03-13 14:15:10+00:00,0.0,0.821,0.179,CBS,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI"
166,0.2244,2018-03-12 18:13:28+00:00,0.0,0.917,0.083,CBS,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is ???! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…
167,0.0,2018-03-12 01:20:43+00:00,0.0,1.0,0.0,CBS,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…"
168,0.4926,2018-03-09 22:48:26+00:00,0.0,0.883,0.117,CBS,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…
169,0.1275,2018-03-09 22:24:20+00:00,0.092,0.795,0.113,CBS,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…"
170,0.4215,2018-03-09 21:10:21+00:00,0.0,0.823,0.177,CBS,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N"
171,0.8658,2018-03-09 18:27:28+00:00,0.0,0.553,0.447,CBS,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…"
172,0.0,2018-03-09 16:02:27+00:00,0.0,1.0,0.0,CBS,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW
173,0.8625,2018-03-08 18:00:49+00:00,0.0,0.664,0.336,CBS,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT
174,0.4926,2018-03-08 17:03:04+00:00,0.0,0.868,0.132,CBS,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy
175,-0.2023,2018-03-07 18:39:10+00:00,0.23,0.619,0.15,CBS,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. ? Here's what critics are saying about #TheGoodF…"
176,0.0,2018-03-07 17:06:02+00:00,0.0,1.0,0.0,CBS,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4"
177,0.6705,2018-03-06 18:10:59+00:00,0.0,0.756,0.244,CBS,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg"
178,0.3818,2018-03-05 22:16:43+00:00,0.0,0.833,0.167,CBS,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s"
